Indicator Name,Measure Names,Country Name,Measure Values
"School enrollment, tertiary (% gross)",2000,Vietnam,9.464670181
"School enrollment, tertiary (% gross)",2001,Vietnam,9.529370308
"School enrollment, tertiary (% gross)",2002,Vietnam,9.79335022
"School enrollment, tertiary (% gross)",2003,Vietnam,10.18511963
"School enrollment, tertiary (% gross)",2004,Vietnam,
"School enrollment, tertiary (% gross)",2005,Vietnam,16.15992928
"School enrollment, tertiary (% gross)",2006,Vietnam,16.78204918
"School enrollment, tertiary (% gross)",2007,Vietnam,18.48277092
"School enrollment, tertiary (% gross)",2008,Vietnam,19.06382942
"School enrollment, tertiary (% gross)",2009,Vietnam,20.23057938
"School enrollment, tertiary (% gross)",2010,Vietnam,22.82085991
"School enrollment, tertiary (% gross)",2011,Vietnam,24.94845009
"School enrollment, tertiary (% gross)",2012,Vietnam,25.18672943
"School enrollment, tertiary (% gross)",2013,Vietnam,25.19178963
"School enrollment, tertiary (% gross)",2014,Vietnam,30.71549988
"School enrollment, tertiary (% gross)",2015,Vietnam,29.07345963
"School enrollment, tertiary (% gross)",2016,Vietnam,28.54496956
"School enrollment, tertiary (% gross)",2017,Vietnam,
"School enrollment, tertiary (% gross)",2018,Vietnam,
"School enrollment, tertiary (% gross)",2019,Vietnam,28.63998032
"School enrollment, tertiary (% gross)",2020,Vietnam,
"School enrollment, tertiary (% gross)",2000,Upper middle income,17.07987022
"School enrollment, tertiary (% gross)",2001,Upper middle income,19.01461983
"School enrollment, tertiary (% gross)",2002,Upper middle income,21.24328995
"School enrollment, tertiary (% gross)",2003,Upper middle income,23.50860977
"School enrollment, tertiary (% gross)",2004,Upper middle income,24.99077034
"School enrollment, tertiary (% gross)",2005,Upper middle income,26.25349045
"School enrollment, tertiary (% gross)",2006,Upper middle income,27.42650986
"School enrollment, tertiary (% gross)",2007,Upper middle income,28.26395035
"School enrollment, tertiary (% gross)",2008,Upper middle income,29.39772987
"School enrollment, tertiary (% gross)",2009,Upper middle income,30.84960938
"School enrollment, tertiary (% gross)",2010,Upper middle income,32.56369019
"School enrollment, tertiary (% gross)",2011,Upper middle income,34.4991188
"School enrollment, tertiary (% gross)",2012,Upper middle income,37.23389053
"School enrollment, tertiary (% gross)",2013,Upper middle income,39.94791031
"School enrollment, tertiary (% gross)",2014,Upper middle income,45.50136185
"School enrollment, tertiary (% gross)",2015,Upper middle income,47.99827957
"School enrollment, tertiary (% gross)",2016,Upper middle income,49.83029938
"School enrollment, tertiary (% gross)",2017,Upper middle income,50.81813049
"School enrollment, tertiary (% gross)",2018,Upper middle income,51.79122925
"School enrollment, tertiary (% gross)",2019,Upper middle income,53.23188019
"School enrollment, tertiary (% gross)",2020,Upper middle income,
"School enrollment, tertiary (% gross)",2000,Myanmar,
"School enrollment, tertiary (% gross)",2001,Myanmar,10.93478966
"School enrollment, tertiary (% gross)",2002,Myanmar,
"School enrollment, tertiary (% gross)",2003,Myanmar,
"School enrollment, tertiary (% gross)",2004,Myanmar,
"School enrollment, tertiary (% gross)",2005,Myanmar,
"School enrollment, tertiary (% gross)",2006,Myanmar,
"School enrollment, tertiary (% gross)",2007,Myanmar,10.61394024
"School enrollment, tertiary (% gross)",2008,Myanmar,
"School enrollment, tertiary (% gross)",2009,Myanmar,
"School enrollment, tertiary (% gross)",2010,Myanmar,
"School enrollment, tertiary (% gross)",2011,Myanmar,14.18303967
"School enrollment, tertiary (% gross)",2012,Myanmar,13.53415966
"School enrollment, tertiary (% gross)",2013,Myanmar,
"School enrollment, tertiary (% gross)",2014,Myanmar,
"School enrollment, tertiary (% gross)",2015,Myanmar,
"School enrollment, tertiary (% gross)",2016,Myanmar,
"School enrollment, tertiary (% gross)",2017,Myanmar,
"School enrollment, tertiary (% gross)",2018,Myanmar,18.81594086
"School enrollment, tertiary (% gross)",2019,Myanmar,
"School enrollment, tertiary (% gross)",2020,Myanmar,
"School enrollment, tertiary (% gross)",2000,Middle income,13.86798
"School enrollment, tertiary (% gross)",2001,Middle income,14.9850502
"School enrollment, tertiary (% gross)",2002,Middle income,16.2883091
"School enrollment, tertiary (% gross)",2003,Middle income,17.53179932
"School enrollment, tertiary (% gross)",2004,Middle income,18.48628998
"School enrollment, tertiary (% gross)",2005,Middle income,19.29232979
"School enrollment, tertiary (% gross)",2006,Middle income,20.24473
"School enrollment, tertiary (% gross)",2007,Middle income,21.29714012
"School enrollment, tertiary (% gross)",2008,Middle income,22.48945999
"School enrollment, tertiary (% gross)",2009,Middle income,23.60165977
"School enrollment, tertiary (% gross)",2010,Middle income,24.99747086
"School enrollment, tertiary (% gross)",2011,Middle income,27.06347084
"School enrollment, tertiary (% gross)",2012,Middle income,28.66924095
"School enrollment, tertiary (% gross)",2013,Middle income,29.77247047
"School enrollment, tertiary (% gross)",2014,Middle income,32.722229
"School enrollment, tertiary (% gross)",2015,Middle income,34.06298828
"School enrollment, tertiary (% gross)",2016,Middle income,34.79909897
"School enrollment, tertiary (% gross)",2017,Middle income,35.39516068
"School enrollment, tertiary (% gross)",2018,Middle income,36.01070023
"School enrollment, tertiary (% gross)",2019,Middle income,36.87202072
"School enrollment, tertiary (% gross)",2020,Middle income,
"School enrollment, tertiary (% gross)",2000,Low income,4.750899792
"School enrollment, tertiary (% gross)",2001,Low income,4.988880157
"School enrollment, tertiary (% gross)",2002,Low income,5.210159779
"School enrollment, tertiary (% gross)",2003,Low income,5.399119854
"School enrollment, tertiary (% gross)",2004,Low income,5.753109932
"School enrollment, tertiary (% gross)",2005,Low income,6.145249844
