Indicator Name,Measure Names,Country Name,Measure Values
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Vietnam,74.93000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Vietnam,74.48999786
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Vietnam,74.91999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Vietnam,74.75
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Vietnam,74.73000336
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Vietnam,74.62999725
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Vietnam,74.58000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Vietnam,74.51000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Vietnam,74.62999725
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Vietnam,74.66000366
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Vietnam,75.44000244
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Vietnam,75.76000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Vietnam,75.95999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Vietnam,76.70999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Vietnam,76.93000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Vietnam,76.51000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Vietnam,76.08000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Vietnam,76.16999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Vietnam,76.79000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Vietnam,75.79000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Vietnam,73.91000366
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Upper middle income,65.86766959
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Upper middle income,65.22214182
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Upper middle income,64.55540898
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Upper middle income,63.95963788
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Upper middle income,63.80772243
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Upper middle income,63.48997037
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Upper middle income,63.38634239
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Upper middle income,63.46930623
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Upper middle income,63.27836966
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Upper middle income,62.86630187
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Upper middle income,62.69724083
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Upper middle income,62.73690647
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Upper middle income,62.80119836
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Upper middle income,62.56364097
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Upper middle income,62.34925722
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Upper middle income,62.10151878
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Upper middle income,61.7535678
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Upper middle income,61.63059047
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Upper middle income,61.51450317
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Upper middle income,61.20377845
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Upper middle income,58.6032735
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Myanmar,71.94999695
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Myanmar,71.5
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Myanmar,71.01999664
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Myanmar,70.47000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Myanmar,69.94000244
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Myanmar,69.40000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Myanmar,68.86000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Myanmar,68.36000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Myanmar,67.90000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Myanmar,67.36000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Myanmar,66.88999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Myanmar,66.58999634
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Myanmar,66.22000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Myanmar,65.80999756
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Myanmar,65.41999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Myanmar,65.05000305
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Myanmar,63.11999893
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Myanmar,61.22000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Myanmar,61.90000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Myanmar,60.11000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Myanmar,55.59999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Middle income,61.79219711
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Middle income,61.40403761
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Middle income,61.00719831
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Middle income,60.68597115
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Middle income,60.65279465
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Middle income,60.49461554
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Middle income,60.29402674
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Middle income,60.19236183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Middle income,59.89658635
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Middle income,59.425943
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Middle income,59.1765455
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Middle income,58.97027069
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Middle income,58.70476074
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Middle income,58.39916931
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Middle income,58.11806512
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Middle income,57.8098665
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Middle income,57.43037173
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Middle income,57.22471081
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Middle income,57.07354584
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Middle income,56.88409957
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Middle income,53.97472726
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Low income,66.3439199
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Low income,66.25835272
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Low income,66.15836083
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Low income,66.07292876
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Low income,66.04706339
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Low income,65.9743381
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Low income,65.71664394
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Low income,65.4329286
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Low income,65.15846668
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Low income,64.84025798
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Low income,64.52693912
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Low income,64.32271092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Low income,64.03783068
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Low income,63.93942046
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Low income,63.74122256
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Low income,63.66210751
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Low income,63.66093157
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Low income,63.6602271
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Low income,63.6630349
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Low income,63.6154727
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Low income,61.42684235
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Lao PDR,78.5
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Lao PDR,78.38999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Lao PDR,78.23000336
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Lao PDR,78.06999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Lao PDR,77.90000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Lao PDR,77.73999786
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Lao PDR,77.70999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Lao PDR,77.66999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Lao PDR,77.62000275
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Lao PDR,77.51999664
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Lao PDR,77.51000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Lao PDR,77.54000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Lao PDR,77.59999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Lao PDR,77.65000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Lao PDR,77.70999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Lao PDR,77.75
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Lao PDR,77.72000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Lao PDR,77.69000244
